enhancement_id,title,current_status,gap_classification,candidate_layers,implementation_assets,readiness_disposition,normative_impact,rationale
FE-001,"Standing, qualification and recognition",prototype-available,guidance-gap,informative-concept; draft-profile,profiles-draft/governed-ecosystem-operations/; experimental/schemas/qualification-record.schema.json,retain-as-guidance,none,The current normative model can represent the concern; clearer guidance and terminology are preferable to new conformance semantics.
FE-002,Governance-framework composition,prototype-available,normative-semantics-gap,informative-concept; experimental-schema; core-candidate,profiles-draft/governed-ecosystem-operations/; experimental/schemas/framework-composition.schema.json,retain-as-experimental,potential,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-003,Institutional succession,under-evaluation,profile-gap,informative-concept; draft-profile; implementation-pattern,profiles-draft/governed-ecosystem-operations/; profiles-draft/institutional-continuity/; experimental/schemas/institutional-transition.schema.json; examples/institutional-authority-succession/,promote-to-profile,none,"Implementation evidence supports a bounded profile candidate, but not a change to the v0.9.0 core or canonical schemas."
FE-004,Authority-scope composition,prototype-available,normative-semantics-gap,informative-concept; experimental-schema; core-candidate,experimental/schemas/authority-scope.schema.json,retain-as-experimental,potential,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-005,Obligation lifecycle,prototype-available,schema-gap,informative-concept; experimental-schema; implementation-pattern,profiles-draft/organisational-authority/,retain-as-experimental,none,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-006,Temporal governance,under-evaluation,guidance-gap,informative-concept; experimental-fields,experimental/schemas/obligation.schema.json; examples/post-decision-obligation-lifecycle/,retain-as-experimental,none,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-007,Evidence predicates,under-evaluation,guidance-gap,informative-concept,experimental/schemas/agent-state-lineage.schema.json; examples/agent-state-change-control/,retain-as-guidance,none,The current normative model can represent the concern; clearer guidance and terminology are preferable to new conformance semantics.
FE-008,Uncertainty and confidence,candidate,vocabulary-gap,informative-concept; experimental-vocabulary,,retain-as-guidance,none,The current normative model can represent the concern; clearer guidance and terminology are preferable to new conformance semantics.
FE-009,Organisational authority chains,prototype-available,profile-gap,informative-concept; draft-profile,profiles-draft/organisational-authority/,promote-to-profile,none,"Implementation evidence supports a bounded profile candidate, but not a change to the v0.9.0 core or canonical schemas."
FE-010,Agent-state lineage,prototype-available,schema-gap,draft-profile; experimental-schema; implementation-pattern,profiles-draft/advanced-agent-orchestration/,retain-as-experimental,none,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-011,Autonomy and control modes,prototype-available,profile-gap,draft-profile; experimental-vocabulary,profiles-draft/advanced-agent-orchestration/,promote-to-profile,none,"Implementation evidence supports a bounded profile candidate, but not a change to the v0.9.0 core or canonical schemas."
FE-012,"Plan, step and composite-effect governance",under-evaluation,test-gap,draft-profile; implementation-pattern; behavioural-test,profiles-draft/privacy-and-inference-governance/; examples/inferred-evidence-governance/,promote-to-profile,none,"Implementation evidence supports a bounded profile candidate, but not a change to the v0.9.0 core or canonical schemas."
FE-013,Multi-agent governance,candidate,profile-gap,draft-profile; implementation-pattern,,defer,none,"The concept remains material, but evidence is too limited or overlaps with adjacent profile work; defer pending multi-implementation evidence."
FE-014,Derived evidence and inference,prototype-available,profile-gap,draft-profile; implementation-pattern,experimental/schemas/assurance-dependency.schema.json,retain-as-experimental,none,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-015,Assurance object and method granularity,under-evaluation,guidance-gap,informative-concept; draft-profile,profiles-draft/governed-ecosystem-operations/; examples/assurance-composition/,retain-as-guidance,none,The current normative model can represent the concern; clearer guidance and terminology are preferable to new conformance semantics.
FE-016,Assurance composition and dependency,prototype-available,schema-gap,informative-concept; experimental-schema; implementation-pattern,profiles-draft/privacy-and-inference-governance/,retain-as-experimental,none,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-017,Governed observability,under-evaluation,profile-gap,draft-profile; implementation-guidance,profiles-draft/institutional-continuity/; examples/revocation-propagation-boundaries/,retain-as-guidance,none,The current normative model can represent the concern; clearer guidance and terminology are preferable to new conformance semantics.
FE-018,Caching and revocation propagation,under-evaluation,test-gap,draft-profile; implementation-pattern; behavioural-test,profiles-draft/governed-ecosystem-operations/; profiles-draft/institutional-continuity/; experimental/schemas/governance-state.schema.json; examples/degraded-trust-service-operation/,retain-as-pattern,none,The concern is best exercised as an implementation and behavioural pattern until propagation measurements exist across multiple systems.
FE-019,Controlled degradation and continuity states,prototype-available,vocabulary-gap,draft-profile; experimental-vocabulary; implementation-pattern,profiles-draft/privacy-and-inference-governance/,retain-as-experimental,none,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-020,Privacy and inference governance,candidate,profile-gap,draft-profile; implementation-pattern,,promote-to-profile,none,"Implementation evidence supports a bounded profile candidate, but not a change to the v0.9.0 core or canonical schemas."
FE-021,Affected-party classes and collective standing,under-evaluation,guidance-gap,informative-concept; draft-profile,experimental/schemas/remedy-execution.schema.json; examples/downstream-remedy-propagation/,retain-as-guidance,none,The current normative model can represent the concern; clearer guidance and terminology are preferable to new conformance semantics.
FE-022,Machine-verifiable remedy execution,prototype-available,schema-gap,experimental-schema; implementation-pattern,profiles-draft/governed-ecosystem-operations/; profiles-draft/market-and-infrastructure-governance/,retain-as-experimental,none,"The prototype is useful for interoperability testing, but independent implementations and stable semantics are not yet sufficient for normative promotion."
FE-023,Market and infrastructure governance,under-evaluation,profile-gap,draft-profile; implementation-pattern,profiles-draft/cross-jurisdiction-governance/; examples/cross-jurisdiction-policy-conflict/,promote-to-profile,none,"Implementation evidence supports a bounded profile candidate, but not a change to the v0.9.0 core or canonical schemas."
FE-024,Jurisdiction and conflict of law,prototype-available,profile-gap,informative-concept; draft-profile,profiles-draft/institutional-continuity/; profiles-draft/cross-jurisdiction-governance/,promote-to-profile,none,"Implementation evidence supports a bounded profile candidate, but not a change to the v0.9.0 core or canonical schemas."
FE-025,Governance-change provenance,prototype-available,schema-gap,implementation-guidance; experimental-schema,profiles-draft/advanced-agent-orchestration/; experimental/schemas/risk-acceptance.schema.json,retain-as-guidance,none,The current normative model can represent the concern; clearer guidance and terminology are preferable to new conformance semantics.
