requirement_id,section,requirement_text,source_line
GAAM-CORE-001,2.1 Governed entity,A governance framework MUST identify the classes of governed entities within its scope.,102
GAAM-CORE-002,2.1 Governed entity,"Where a governed entity is a machine, software component or agent, the framework MUST identify one or more accountable persons or organisations and the basis of their accountability.",104
GAAM-CORE-003,2.2 Actor,"A framework MUST define each governed actor role, including its responsibilities, eligibility, authority limits, obligations and lifecycle.",112
GAAM-CORE-004,2.4 Agent,"A framework permitting agent participation MUST state which agent classes are permitted and which effects each class may request, recommend, approve or perform.",135
GAAM-CORE-005,2.5 Role,"A role definition MUST specify the conditions under which the role is assigned, activated, suspended, transferred and terminated.",143
GAAM-AUTH-001,2.6 Authority,Every authority recognised by a framework MUST identify its source.,151
GAAM-AUTH-002,2.6 Authority,Authority MUST be bounded by sufficient scope information to determine whether a proposed effect falls within it.,153
GAAM-AUTH-003,2.6 Authority,"Identification, authentication, possession of a credential, registry inclusion or technical capability MUST NOT be treated as sufficient proof of authority unless the framework explicitly defines and validates the authority semantics represented by that artifact or state.",155
GAAM-AUTH-004,2.7 Capability,A framework MUST distinguish capability from authority.,161
GAAM-AUTH-005,2.7 Capability,Systems enforcing a framework MUST NOT admit a consequential effect solely because an actor possesses the technical means to cause it.,163
GAAM-DEL-001,2.8 Delegation,"A delegation MUST identify the delegator, delegate, delegated authority, effective period and termination conditions.",186
GAAM-DEL-002,2.8 Delegation,Redelegation MUST be expressly authorised.,188
GAAM-DEL-003,2.8 Delegation,Each delegation hop MUST NOT enlarge the authority available at the parent hop unless an independently valid authority source authorises the enlargement.,190
GAAM-DEL-004,2.8 Delegation,"Delegated authority MUST remain traceable to its authority source and, where applicable, to the originating principal.",192
GAAM-DEL-005,2.8 Delegation,"Suspension, revocation or expiry of parent authority MUST affect descendant authority according to explicit propagation rules.",194
GAAM-DEL-006,2.8 Delegation,"Delegation MUST NOT extinguish the accountability of a delegator, principal, operator, provider or other party whose accountability is established by law, agreement or framework policy.",196
GAAM-POL-001,"2.9 Permission, prohibition, obligation and constraint","A framework MUST define how conflicts among permissions, prohibitions, obligations and constraints are resolved.",202
GAAM-POL-002,"2.9 Permission, prohibition, obligation and constraint","A framework MUST identify the authority under which a permission, prohibition, obligation or constraint is established.",204
GAAM-POL-003,"2.10 Policy, rule and control",Machine-actionable rules MUST be traceable to their normative policy source and the authority that approved that source.,210
GAAM-POL-004,"2.10 Policy, rule and control",A governance framework MUST define precedence when human-readable normative text and machine-actionable representations conflict.,212
