ecosystem_capability,gaam_requirements,current_coverage,evidence,implementation_friction,gap_classification,proposed_disposition,normative_impact,candidate_change_proposal_id,review_status
Participant classes,GAAM-CORE-001;GAAM-CORE-003;GAAM-GF-006,covered-with-pattern,"The governed ecosystem pattern identifies governing, administrative, intermediary, assessor, infrastructure, relying-party and affected-party roles.","Participant classes can be expressed, but the specification does not provide a reusable ecosystem participant taxonomy.",guidance-gap,implementation-guidance,none,,ready-for-review
Qualification and recognition lifecycle,GAAM-CORE-003;GAAM-CORE-005;GAAM-ASSUR-004;GAAM-EVT-001,partially-covered,"Role and assurance lifecycle requirements support qualification states; qualification-lifecycle.md demonstrates admission, surveillance, remediation, suspension, termination and reinstatement.","Qualification, accreditation, contractual activation, conformance and assurance remain easy to conflate.",pattern-gap,documentation-clarification,none,,ready-for-review
Governance-framework composition,GAAM-GF-001;GAAM-GF-006;GAAM-GF-010;GAAM-POL-003;GAAM-POL-004,partially-covered,"Controlled documents, policy traceability and precedence can represent primary and subordinate frameworks.","No standard relationship vocabulary exists for extends, specialises, imports, inherits or terminates-with-parent.",vocabulary-gap,defer-pending-implementation,possible,GAAM-CP-ECO-001,candidate
Governed credential or assertion frameworks,GAAM-EVID-001;GAAM-EVID-002;GAAM-GF-001;GAAM-GF-003,covered-with-pattern,"Existing claim, evidence, controlled-document and conformance concepts can govern credential or assertion types.","Implementers need a reusable pattern connecting claim semantics, issuer competence, lifecycle, verification and relying-party limits.",guidance-gap,implementation-guidance,none,,ready-for-review
Organisational authority chains,GAAM-AUTH-001;GAAM-AUTH-002;GAAM-AUTH-003;GAAM-DEL-004;GAAM-AGT-004,covered-with-pattern,"Authority source, scope, delegation traceability and verifiable authority requirements support multi-stage organisational authority.","Appointment, role legitimacy, role authority, transaction authorisation and execution need clearer separation in implementation guidance.",guidance-gap,implementation-guidance,none,,ready-for-review
Contract-to-authority traceability,GAAM-AUTH-001;GAAM-POL-002;GAAM-POL-003;GAAM-GF-001,partially-covered,Legal and controlled documents can serve as authority and policy sources with machine-actionable traceability.,"The model does not explicitly require contracts to enumerate operational authority effects, breach triggers and transition duties.",guidance-gap,documentation-clarification,none,,ready-for-review
Multi-object assurance,GAAM-ASSUR-001;GAAM-ASSUR-002;GAAM-ASSUR-003;GAAM-ASSUR-004,partially-covered,"GAAM distinguishes verification from assurance and requires scoped, time-bound conclusions.","Participant, service, transaction, artifact, infrastructure and ecosystem assurance objects are not presented as one reusable architecture.",pattern-gap,implementation-guidance,none,,ready-for-review
Third-party control flow-down,GAAM-ACC-001;GAAM-ACC-003;GAAM-DEL-006;GAAM-GF-006,partially-covered,Accountability allocation and non-extinguishment through delegation support retained responsibility for subcontractors.,"Explicit outsourcing boundaries, audit rights, incident notice, subcontractor approval and termination assistance are not consolidated.",guidance-gap,implementation-guidance,none,,ready-for-review
Intermediary exit and continuity,GAAM-REL-006;GAAM-GF-012;GAAM-RUN-008;GAAM-RUN-009;GAAM-AGT-022,partially-covered,"Transition, notification, runtime interruption, revocation and termination requirements cover key elements.","Revocation and continuity are not expressly separated; status-service continuity, record custody and replacement-operator duties need reusable guidance.",pattern-gap,implementation-guidance,none,,ready-for-review
Residual-risk acceptance authority,GAAM-ACC-001;GAAM-ACC-003;GAAM-HARM-001;GAAM-DEC-003,partially-covered,"Accountability, harm and relying-party risk tolerance identify who bears and evaluates risk.","No explicit normative record structure requires acceptance authority, expiry, affected parties and automatic invalidation conditions.",schema-gap,defer-pending-implementation,possible,GAAM-CP-ECO-002,candidate
Ecosystem status publication,GAAM-GF-009;GAAM-EVT-001;GAAM-EVT-002;GAAM-RUN-003,covered,"Governance state must be authenticated, discoverable and current; events must be attributable and reconstructable.",Implementation guidance should explain public versus access-controlled publication and cache invalidation.,guidance-gap,documentation-clarification,none,,ready-for-review
Service-level governance,GAAM-ASSUR-002;GAAM-ASSUR-004;GAAM-RUN-001;GAAM-RUN-008,partially-covered,Scoped assurance and runtime governance can evaluate service conditions and interruption triggers.,"Service obligations, measurements, breach thresholds and governance consequences lack a dedicated implementation pattern.",pattern-gap,implementation-guidance,none,,ready-for-review
