requirement_id,section,testability,profiles,schema_artifacts,evidence_catalogue_ids,test_ids,verification_note
GAAM-CORE-001,2.1 Governed entity,reviewable,foundation,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-CORE-002,2.1 Governed entity,reviewable,foundation,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-CORE-003,2.2 Actor,reviewable,foundation,,EVD-GOV-001,,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-CORE-004,2.4 Agent,reviewable,foundation,,EVD-GOV-001,jurisdiction-conflict-escalated-valid,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-CORE-005,2.5 Role,behavioural-testable,foundation,,EVD-GOV-001,obligation-fulfilled-valid,Requires documented review or operational evidence; no universal automated oracle is asserted.
GAAM-AUTH-001,2.6 Authority,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected;institutional-succession-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-AUTH-002,2.6 Authority,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-AUTH-003,2.6 Authority,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-AUTH-004,2.7 Capability,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected;agent-state-change-reauthorised-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-AUTH-005,2.7 Capability,mixed,delegated-authority;foundation,authority.schema.json,EVD-AUT-001,authority-active-valid;authority-revoked-rejected;authority-not-yet-effective-rejected;authority-expired-rejected;authority-source-invalid-rejected;revocation-propagation-bounded-valid,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-001,2.8 Delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-002,2.8 Delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-003,2.8 Delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-004,2.8 Delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
GAAM-DEL-005,2.8 Delegation,behavioural-testable,agentic-systems;delegated-authority,authority.schema.json,EVD-DEL-001,delegation-attenuated-valid;delegation-amplification-rejected;delegation-depth-rejected;delegation-redelegation-prohibited-rejected;delegation-parent-revoked-rejected;delegation-child-outlives-parent-rejected,"Automated fixtures supplement, but do not replace, contextual review."
